13.3175 	EXP 	fixation: autoDraw = True
14.3159 	EXP 	line1: autoDraw = True
14.3159 	EXP 	line2: autoDraw = True
14.3159 	EXP 	line3: autoDraw = True
14.3159 	EXP 	line4: autoDraw = True
14.3331 	EXP 	fixation: autoDraw = False
15.3155 	INFO 	Keyboard events cleared
15.3150 	EXP 	probe: autoDraw = True
17.5145 	EXP 	New trial (rep=1, index=0): <Trial 4 (0 in rep 1) data={'pos': -50, 'corr_resp': 'x', 'thisN': 4, 'thisTrialN': 0, 'thisRepN': 1}>
17.5158 	DATA 	Keypress: z
17.5301 	EXP 	fixation: autoDraw = False
17.5301 	EXP 	line1: autoDraw = False
17.5301 	EXP 	line2: autoDraw = False
17.5301 	EXP 	line3: autoDraw = False
17.5301 	EXP 	line4: autoDraw = False
17.5301 	EXP 	probe: autoDraw = False
17.5301 	EXP 	fixation: autoDraw = True
18.5294 	EXP 	fixation: autoDraw = False
18.5294 	EXP 	line1: autoDraw = True
18.5294 	EXP 	line2: autoDraw = True
18.5294 	EXP 	line3: autoDraw = True
18.5294 	EXP 	line4: autoDraw = True
18.6146 	DATA 	Keypress: escape
18.7138 	EXP 	Motor_Sequence_Learning: status = STOPPED
18.7291 	EXP 	line1: autoDraw = False
18.7291 	EXP 	line2: autoDraw = False
18.7291 	EXP 	line3: autoDraw = False
18.7291 	EXP 	line4: autoDraw = False
18.7293 	EXP 	Motor_Sequence_Learning: status = STOPPED
18.7386 	INFO 	saved data to 'C:\\Users\\Jash\\Downloads\\PsychoPy\\Motor Sequence Learning\\data/540346_Motor_Sequence_Learning_2024-11-15_11h36.15.192.csv'
18.7400 	INFO 	saved data to C:\Users\Jash\Downloads\PsychoPy\Motor Sequence Learning\data/540346_Motor_Sequence_Learning_2024-11-15_11h36.15.192.psydat
18.8729 	EXP 	window1: mouseVisible = True
