key_resp.corr	key_resp.rt	trials.key_resp.rt			
1	0.3335078	0.3335078			
1	5.6162751	5.6162751			
1	13.7226344	13.7226344			
1	7.3724914	7.3724914			
1	0.5519361	0.5519361			
1	0.5303135	0.5303135			
1	0.6050859	0.6050859			
1	0.3353805	0.3353805			
1	0.4066506	0.4066506			
1	0.4175271	0.4175271			
1	0.3552743	0.3552743			
1	1.9112126	1.9112126			
1	0.4009925	0.4009925			
1	0.3521853	0.3521853			
1	0.6449343	0.6449343			
1	0.400473	0.400473			
1	0.3760387	0.3760387			
1	0.9643875	0.9643875			
1	0.4718072	0.4718072			
1	0.526048	0.526048			
1	0.4369121	0.4369121			
1	0.995296	0.995296			
1	0.3489198	0.3489198			
1	0.3278648	0.3278648			
1	3.0168203	3.0168203			
1	0.4821994	0.4821994			
1	0.4140049	0.4140049			
1	0.5865989	0.5865989			
1	1.076668	1.076668			
1	0.3932675	0.3932675			
1	4.1607834	4.1607834			
1	0.4855537	0.4855537			
1	0.3399557	0.3399557			
1	0.3346209	0.3346209			
1	0.2671201	0.2671201			
1	0.4335845	0.4335845			
1	0.322419	0.322419			
1	1.558981	1.558981			
1	21.3614652	21.3614652			
1	1.6782584	1.6782584			
1	0.7301715	0.7301715			
1	3.893774	3.893774			
1	0.6362613	0.6362613			
1	0.9917934	0.9917934			
1	0.4721378	0.4721378			
1	0.4110601	0.4110601			
1	0.8799381	0.8799381			
1	1.7156547	1.7156547			
1	0.5322925	0.5322925			
1	0.9016959	0.9016959			
1	1.5420991	1.5420991			
1	0.6052927	0.6052927			
1	1.4604776	1.4604776			
1	0.6426316	0.6426316			
1	0.309835	0.309835			
1	1.5718805	1.5718805			
1	0.4505203	0.4505203			
1	0.6011989	0.6011989			
1	0.5262604	0.5262604			
1	0.639072	0.639072			
1	0.4116016	0.4116016			
1	0.319017	0.319017			
1	0.7161927	0.7161927			
1	1.0924314	1.0924314			
1	3.7859988	3.7859988			
1	0.347352	0.347352			
1	0.6124477	0.6124477			
1	0.5761979	0.5761979			
1	0.3670515	0.3670515			
1	1.396231	1.396231			
1	0.3698483	0.3698483			
1	2.716409	2.716409			
1	3.0977664	3.0977664			
1	5.0350939	5.0350939			
1	3.2513211	3.2513211			
1	3.2944078	3.2944078			
